,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
67362,0,147,11,96,567,9.542607,8.896159,2.0,0,1.0,1,0,2,14,13,147.0,0,5,17.0,0,0.0,Fulani extremists
14419,0,61,2,122,505,13.69288,-89.199161,1.0,0,0.0,1,0,2,14,682,61.0,0,8,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
16935,0,362,8,164,721,51.148407,6.357643,1.0,0,0.0,1,0,3,4,846,216.0,0,6,0.0,1,0.0,Irish Republican Army (IRA)
66671,0,4,6,374,1487,35.838223,66.234833,1.0,0,0.0,1,0,1,14,1675,4.0,0,5,2.0,0,0.0,Taliban
57911,0,95,10,28,1014,33.669689,44.381317,1.0,0,1.0,1,0,2,3,282,95.0,0,5,4.0,1,0.0,Muslim extremists
39937,0,141,6,214,972,27.708754,85.329498,1.0,0,0.0,1,0,3,10,1126,141.0,0,6,0.0,1,0.0,Maoists
70584,0,214,9,118,461,47.981647,37.762325,1.0,1,0.0,1,0,2,4,48,214.0,0,6,1.0,0,0.0,Donetsk People's Republic
17748,1,43,3,218,914,-33.366238,-70.505302,1.0,0,0.0,1,0,3,2,425,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
67825,0,147,11,137,570,7.506095,9.35066,2.0,0,1.0,1,0,2,14,27,147.0,0,5,17.0,1,0.0,Fulani extremists
80411,0,92,6,103,980,18.673653,80.987938,1.0,0,0.0,1,0,7,1,1098,92.0,0,5,0.0,1,0.0,Maoists
26052,0,92,6,370,1451,30.733315,76.779418,1.0,0,0.0,1,0,2,14,1625,92.0,0,5,7.0,1,0.0,Sikh Extremists
36409,0,186,6,207,853,8.577826,81.218719,1.0,1,0.0,1,0,2,2,988,186.0,0,5,6.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
45904,0,160,5,1,30,6.066693,121.100042,1.0,0,0.0,1,0,7,8,38,160.0,0,8,0.0,1,0.0,Abu Sayyaf Group (ASG)
61596,0,147,11,96,613,9.538302,8.907022,2.0,0,0.0,1,0,2,14,27,147.0,0,5,5.0,0,0.0,Fulani extremists
65733,0,214,9,118,485,48.730804,37.574596,1.0,0,1.0,1,0,3,14,652,214.0,0,6,3.0,1,0.0,Donetsk People's Republic
81384,0,95,10,29,115,36.354145,43.14357,1.0,0,1.0,1,1,3,4,48,95.0,0,6,2.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
999,0,603,8,161,694,54.607712,-5.95621,1.0,0,0.0,1,0,1,17,838,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
71816,0,228,10,41,663,15.45639,45.324871,1.0,0,0.0,1,0,3,4,217,228.0,0,6,0.0,0,0.0,Houthi extremists (Ansar Allah)
37718,0,69,8,110,445,42.681855,9.303746,1.0,0,1.0,1,0,5,14,600,69.0,0,9,0.0,0,1.0,Corsican National Liberation Front (FLNC)
71267,1,160,5,292,1128,8.892579,126.300309,2.0,0,0.0,1,0,6,14,1275,160.0,0,5,1.0,0,1.0,New People's Army (NPA)
54065,0,92,6,101,945,24.528349,84.590579,1.0,1,0.0,1,0,3,4,48,92.0,0,6,0.0,0,0.0,Maoists
60427,0,113,10,245,1032,32.069286,20.151144,1.0,0,0.0,1,0,1,10,1165,113.0,0,5,1.0,0,0.0,Muslim extremists
77291,0,228,10,41,663,15.45639,45.324871,1.0,0,0.0,0,0,3,14,767,228.0,0,6,0.0,0,0.0,Houthi extremists (Ansar Allah)
80169,0,160,5,300,1170,16.983334,122.01667,1.0,0,0.0,0,0,2,4,55,160.0,0,5,0.0,0,0.0,New People's Army (NPA)
15867,0,61,2,128,518,13.676944,-89.279722,1.0,0,0.0,1,0,1,2,679,61.0,0,5,1.0,0,0.0,Farabundo Marti National Liberation Front (FMLN)
19444,0,159,3,224,926,-11.967368,-76.978462,1.0,0,1.0,1,0,3,2,1080,159.0,0,6,0.0,1,0.0,Shining Path (SL)
82107,0,153,6,402,1569,34.006004,71.53743,1.0,0,0.0,1,0,3,3,1742,153.0,0,6,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
45287,0,95,10,25,108,33.303566,44.371773,1.0,0,0.0,1,0,2,14,196,95.0,0,5,7.0,0,0.0,Al-Qaida in Iraq
20071,0,92,6,226,1458,20.946702,72.952035,1.0,0,0.0,1,0,1,2,1635,92.0,0,5,7.0,0,0.0,Sikh Extremists
18805,0,603,8,161,694,54.607712,-5.95621,1.0,0,0.0,1,0,3,3,825,233.0,0,6,1.0,1,0.0,Irish Republican Army (IRA)
13040,0,145,2,319,1203,12.933056,-86.348611,1.0,0,0.0,1,0,2,4,678,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
73959,0,153,6,404,1572,24.891115,67.143311,1.0,0,1.0,1,0,2,3,250,153.0,0,5,4.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
16215,0,145,2,332,1247,11.676334,-84.702872,1.0,0,0.0,1,0,2,4,683,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
32404,0,45,3,265,1075,6.242026,-75.564766,1.0,0,0.0,1,0,3,8,1207,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
68288,0,200,10,168,1013,36.201721,37.14352,1.0,0,1.0,1,0,3,14,757,200.0,0,6,4.0,-9,0.0,Muslim extremists
48109,0,92,6,103,395,20.271944,81.493056,3.0,0,0.0,1,0,7,1,540,92.0,0,8,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
27834,0,97,10,214,1294,32.322744,34.853921,1.0,0,0.0,0,0,1,14,1398,97.0,0,9,0.0,0,0.0,Palestinians
67500,0,228,10,38,675,12.867085,44.981911,1.0,0,0.0,1,0,3,14,756,228.0,0,6,1.0,-9,0.0,Houthi extremists (Ansar Allah)
20181,0,92,6,371,1454,26.338056,76.151944,1.0,0,0.0,1,0,1,1,1629,92.0,0,5,1.0,0,0.0,Sikh Extremists
11174,0,45,3,269,1077,7.116294,-73.120026,1.0,0,1.0,1,0,3,15,1203,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
25632,0,92,6,368,1448,28.690073,77.213982,1.0,0,0.0,1,0,3,15,1615,92.0,0,6,5.0,1,0.0,Sikh Extremists
14961,0,145,2,318,1222,13.62679,-85.8254,1.0,0,0.0,1,0,2,4,672,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
29978,0,186,6,207,852,7.301756,81.67473,3.0,0,0.0,1,0,1,14,956,186.0,0,5,2.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
32425,0,45,3,269,1074,7.062532,-73.085812,1.0,0,0.0,1,0,3,2,1199,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
75637,0,209,10,191,802,38.292876,41.022436,1.0,1,0.0,1,0,3,4,48,209.0,0,6,1.0,1,0.0,Kurdistan Workers' Party (PKK)
21332,0,43,3,218,914,-33.366238,-70.505302,1.0,0,0.0,1,0,1,3,1067,43.0,0,5,2.0,0,0.0,Manuel Rodriguez Patriotic Front (FPMR)
70195,0,95,10,24,751,33.397812,43.706276,1.0,0,0.0,1,1,3,4,48,95.0,0,6,1.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
46483,0,4,6,380,1495,32.625149,62.479768,3.0,0,0.0,1,0,2,14,1680,4.0,0,5,3.0,-9,0.0,Taliban
60882,1,60,10,230,1020,31.126646,33.800865,1.0,0,0.0,1,0,6,1,1166,60.0,0,5,0.0,1,1.0,Muslim extremists
32857,0,183,11,15,74,-26.353159,28.132727,1.0,0,0.0,1,0,2,14,121,183.0,0,5,6.0,1,0.0,African National Congress (South Africa)
46867,0,92,6,104,350,22.609739,87.253142,1.0,0,0.0,1,0,7,22,186,92.0,0,11,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
11881,0,145,2,326,1250,12.481654,-87.173207,1.0,0,0.0,1,0,7,1,1353,145.0,0,5,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
19794,0,185,8,68,256,43.272167,-2.832167,1.0,0,0.0,1,0,7,19,398,185.0,0,8,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
13954,0,183,11,15,57,-26.184113,28.033232,1.0,0,0.0,1,0,3,1,114,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
63602,0,41,11,146,600,5.965833,20.528484,1.0,0,1.0,1,0,2,14,459,41.0,0,5,15.0,1,0.0,Fulani extremists
7708,0,603,8,161,694,54.607712,-5.95621,1.0,0,0.0,1,0,2,3,837,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
